Region,Seed,School,SRS
1,1,Connecticut,24.72
1,16,Stetson,-4.51
1,8,Florida Atlantic,13.89
1,9,Northwestern,12.75
1,4,Auburn,23
1,13,Yale,5.05
1,5,San Diego State,15.31
1,12,UAB,4.91
1,3,Illinois,19.79
1,14,Morehead State,0.7
1,6,Brigham Young,20.36
1,11,Duquesne,7.32
1,7,Washington State,14.28
1,10,Drake,11.19
1,2,Iowa State,23.02
1,15,South Dakota State,0.72
2,1,North Carolina,21
2,16,Wagner,-10.86
2,8,Mississippi State,14.92
2,9,Michigan State,17.9
2,4,Alabama,21.12
2,13,College of Charleston,4.19
2,5,Saint Mary's,16.96
2,12,Grand Canyon,10.03
2,3,Baylor,20.22
2,14,Colgate,0.07
2,6,Clemson,14.91
2,11,New Mexico,16.02
2,7,Dayton,13.55
2,10,Nevada,13.38
2,2,Arizona,25.35
2,15,Long Beach State,-0.98
3,1,Houston,26.36
3,16,Longwood,-1.47
3,8,Nebraska,15.12
3,9,Texas A&M,13.06
3,4,Duke,20.24
3,13,Vermont,2.92
3,5,Wisconsin,16.89
3,12,James Madison,8.68
3,3,Kentucky,17.63
3,14,Oakland,1.6
3,6,Texas Tech,15.98
3,11,NC State,11.57
3,7,Florida,15.82
3,10,Colorado,16.02
3,2,Marquette,19.58
3,15,Western Kentucky,1.44
4,1,Purdue,24.78
4,16,Grambling,-10.2
4,8,Utah State,12.17
4,9,TCU,15.67
4,4,Kansas,17.52
4,13,Samford,6.26
4,5,Gonzaga,17.32
4,12,McNeese State,7.16
4,3,Creighton,20.03
4,14,Akron,3.02
4,6,South Carolina,11.55
4,11,Oregon,12.26
4,7,Texas,16.05
4,10,Colorado State,13.47
4,2,Tennessee,21.8
4,15,Saint Peter's,-4.12
