Region,Seed,School,SRS
1,1,Alabama,23.19
1,16,Texas A&M-CC,-2.57
1,8,Maryland,14.58
1,9,West Virginia,15.95
1,4,Virginia,13.28
1,13,Furman,4.89
1,5,San Diego State,15.81
1,12,College of Charleston,8.4
1,3,Baylor,17.3
1,14,UC Santa Barbara,3.3
1,6,Creighton,17.83
1,11,NC State,12.5
1,7,Missouri,11.41
1,10,Utah State,14.23
1,2,Arizona,19.08
1,15,Princeton,4.76
2,1,Purdue,18.23
2,16,Fairleigh Dickinson,-8.98
2,8,Memphis,14.5
2,9,Florida Atlantic,13.92
2,4,Tennessee,20.84
2,13,Louisiana,4.27
2,5,Duke,15.83
2,12,Oral Roberts,8.55
2,3,Kansas State,15.79
2,14,Montana State,2.18
2,6,Kentucky,14.76
2,11,Providence,12.89
2,7,Michigan State,14.25
2,10,USC,13.06
2,2,Marquette,17.07
2,15,Vermont,1.63
3,1,Houston,22.2
3,16,Northern Kentucky,-0.83
3,8,Iowa,14.08
3,9,Auburn,14.35
3,4,Indiana,14.94
3,13,Kent State,7.53
3,5,Miami,13.98
3,12,Drake,7.84
3,3,Xavier,16.03
3,14,Kennesaw State,0.6
3,6,Iowa State,15.36
3,11,Pittsburgh,10.59
3,7,Texas A&M,13.76
3,10,Penn State,13.04
3,2,Texas,20.56
3,15,Colgate,2.2
4,1,Kansas,19.2
4,16,Howard,-5.04
4,8,Arkansas,15.99
4,9,Illinois,14.81
4,4,Uconn,22.95
4,13,Iona,7.61
4,5,Saint Mary's,17.41
4,12,VCU,9.89
4,3,Gonzaga,18.99
4,14,Grand Canyon,4.43
4,6,TCU,15.61
4,11,Arizona State,11.29
4,7,Northwestern,13.68
4,10,Boise State,12.78
4,2,UCLA,22.11
4,15,UNC Asheville,-1.74
