Region,Seed,School,SRS
1,1,Gonzaga,27.2
1,16,Norfolk State,-6.16
1,8,Oklahoma,13.52
1,9,Missouri,12.37
1,4,Virginia,15.27
1,13,Ohio,5.48
1,5,Creighton,16.28
1,12,UC Santa Barbara,7.8
1,3,Kansas,15.29
1,14,Eastern Washington,4.03
1,6,USC,20.5
1,11,Drake,9.42
1,7,Oregon,16.15
1,10,VCU,11.3
1,2,Iowa,21.4
1,15,Grand Canyon,5.11
2,1,Michigan,22
2,16,Texas Southern,-6.15
2,8,LSU,15.7
2,9,St Bonaventure,13.44
2,4,Florida State,17.12
2,13,UNC Greensboro,3.48
2,5,Colorado,18.88
2,12,Georgetown,10.13
2,3,Texas,15.51
2,14,Abilene Christian,6.27
2,6,BYU,15.19
2,11,UCLA,16.3
2,7,Uconn,15.77
2,10,Maryland,13.94
2,2,Alabama,19.58
2,15,Iona,-1.2
3,1,Baylor,24.83
3,16,Hartford,-3.45
3,8,North Carolina,14.79
3,9,Wisconsin,17.22
3,4,Purdue,15.55
3,13,North Texas,7.58
3,5,Villanova,17.47
3,12,Winthrop,4.69
3,3,Arkansas,17.8
3,14,Colgate,13.66
3,6,Texas Tech,16.59
3,11,Utah State,10.99
3,7,Florida,13.7
3,10,Virginia Tech,12.59
3,2,Ohio State,18.25
3,15,Oral Roberts,1.73
4,1,Illinois,23.25
4,16,Drexel,-0.97
4,8,Loyola Chicago,15.12
4,9,Georgia Tech,12.79
4,4,Oklahoma State,13.65
4,13,Liberty,4.06
4,5,Tennessee,16.87
4,12,Oregon State,11.48
4,3,West Virginia,15.36
4,14,Morehead State,-0.95
4,6,San Diego State,14.36
4,11,Syracuse,13.27
4,7,Clemson,12.49
4,10,Rutgers,14.14
4,2,Houston,21.66
4,15,Cleveland State,-5.12
