Region,Seed,School,SRS
1,1,Auburn,29.58
1,16,Alabama State,-9.22
1,8,Louisville,19.3
1,9,Creighton,16.36
1,4,Texas A&M,20.05
1,13,Yale,6.78
1,5,Michigan State,22.47
1,12,UC San Diego,13.04
1,3,Iowa State,23.05
1,14,Lipscomb,5.07
1,6,Mississippi,17.93
1,11,North Carolina,17.17
1,7,Marquette,18.89
1,10,New Mexico,15.16
1,2,Michigan State,22.47
1,15,Bryant,-1.66
2,1,Florida,27.82
2,16,Norfolk State,-3.61
2,8,Connecticut,17.84
2,9,Oklahoma,15.42
2,4,Maryland,23.54
2,13,Grand Canyon,5.82
2,5,Memphis,12.51
2,12,Colorado State,13.92
2,3,Texas Tech,23.91
2,14,UNC Wilmington,2.32
2,6,Missouri,20.39
2,11,Drake,9.04
2,7,Kansas,20.72
2,10,Arkansas,16.64
2,2,St. John's,21.77
2,15,Omaha,-1.07
3,1,Duke,30.32
3,16,American,-7
3,8,Mississippi State,17.53
3,9,Baylor,19.43
3,4,Arizona,23.14
3,13,Akron,3.55
3,5,Oregon,17.5
3,12,Liberty,8.24
3,3,Wisconsin,21.15
3,14,Montana,-1.12
3,6,BYU,19.82
3,11,VCU,15.26
3,7,Saint Mary's,17.75
3,10,Vanderbilt,15.03
3,2,Alabama,25.97
3,15,Robert Morris,-0.04
4,1,Houston,28.45
4,16,SIU Edwardsville,-5.83
4,8,Gonzaga,23.63
4,9,Georgia,17.23
4,4,Purdue,20.68
4,13,High Point,5.41
4,5,Clemson,18.51
4,12,McNeese State,8.89
4,3,Kentucky,21.62
4,14,Troy,3.62
4,6,Illinois,21.72
4,11,Xavier,15.57
4,7,UCLA,19.24
4,10,Utah State,14.48
4,2,Tennessee,25.04
4,15,Wofford,-0.27
